S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
5654,Hold ABB; target of Rs 1506: Nalanda Securities ,2019-05-09 15:29:00,Nalanda Securities,ABB,ABB,1506.0,Hold,2019-05-09,1450.0,2019-05-27,1506.0,Complete
5655,Buy NIIT Technologies; target of Rs 1440: Cholamandalam Securities ,2019-05-09 15:26:00,Cholamandalam Securities,NIIT Technologies,LTTS,1440.0,Buy,,,,,Not Attempted
5656,Accumulate CEAT; target of Rs 1160: Dolat Capital ,2019-05-09 15:12:00,Dolat Capital,CEAT,CEATLTD,1160.0,Accumulate,2019-05-09,1057.0,2019-05-16,951.3,Complete
5657,Buy Navin Fluorine International; target of Rs 812: HDFC Securities ,2019-05-09 15:10:00,HDFC Securities,Navin Fluorine International,NAVINFLUOR,812.0,Buy,2019-05-09,675.9,2019-07-18,608.31,Complete
5658,Buy Bharti Airtel; target of Rs 374: HDFC Securities ,2019-05-09 15:09:00,HDFC Securities,Bharti Airtel,BHARTIARTL,374.0,Buy,2019-05-09,321.25,2019-08-06,374.0,Complete
5659,Hold Escorts; target of Rs 600: ICICI Direct ,2019-05-09 15:03:00,ICICI Direct,Escorts,ESCORTS,600.0,Hold,,,,,Not Attempted
5660,Buy Jyothy Laboratories; target of Rs 220: ICICI Direct ,2019-05-09 14:58:00,ICICI Direct,Jyothy Laboratories,JYOTHYLAB,220.0,Buy,2019-05-09,161.0,2019-05-15,144.9,Complete
5661,Accumulate ICICI Bank; target of Rs 440: KR Choksey ,2019-05-08 17:20:00,KR Choksey,ICICI Bank,ICICIBANK,440.0,Accumulate,2019-05-09,380.95,2019-06-26,440.0,Complete
5662,Buy Gujarat Gas; target of Rs 190: ICICI Direct ,2019-05-08 13:19:00,ICICI Direct,Gujarat Gas,GUJGASLTD,190.0,Buy,2019-05-08,162.2,2019-05-29,190.0,Complete
5663,Buy Firstsource Solutions; target of Rs 60: ICICI Direct ,2019-05-08 13:18:00,ICICI Direct,Firstsource Solutions,FSL,60.0,Buy,2019-05-08,50.75,2019-08-23,45.675,Complete
5664,Buy Mahindra CIE Automotive; target of Rs 275: ICICI Direct ,2019-05-08 13:14:00,ICICI Direct,Mahindra CIE Automotive,MAHINDCIE,275.0,Buy,2019-05-08,225.0,2019-07-19,202.5,Complete
5665,Sell Gujarat Gas; target of Rs 153: Dolat Capital ,2019-05-08 13:11:00,Dolat Capital,Gujarat Gas,GUJGASLTD,153.0,Sell,2019-05-28,178.42000000000002,2019-05-08,162.2,Complete
5666,Buy V.I.P. Industries; target of Rs 564: Prabhudas Lilladher ,2019-05-08 12:32:00,Prabhudas Lilladher,V.I.P. Industries,MAHLIFE,564.0,Buy,2019-05-08,380.95,2020-03-04,342.855,Complete
5667,Buy ICICI Bank; target of Rs 454: HDFC Securities ,2019-05-08 12:15:00,HDFC Securities,ICICI Bank,ICICIBANK,454.0,Buy,2019-05-08,386.3,2019-09-26,454.0,Complete
5668,Hold Kewal Kiran Clothing; target of Rs 1415: Sharekhan ,2019-05-08 12:13:00,Sharekhan,Kewal Kiran Clothing,KKCL,1415.0,Hold,2019-05-08,1300.0,2019-06-13,1170.0,Complete
5669,Hold Supreme Industries; target of Rs 1120: Sharekhan ,2019-05-08 12:12:00,Sharekhan,Supreme Industries,SUPREMEIND,1120.0,Hold,2019-05-08,1030.0,2019-06-27,1120.0,Complete
