S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
3401,Hold Colgate-Palmolive (India); target of Rs 1540: ICICI Direct ,2020-08-03 10:45:00,ICICI Direct,Colgate-Palmolive (India),COLPAL,1540.0,Hold,2020-08-03,1423.3,2020-10-27,1546.5,Complete
3402,Hold Hexaware Technologies; target of Rs 415: ICICI Direct ,2020-08-03 10:30:00,ICICI Direct,Hexaware Technologies,DEVIT,415.0,Hold,,,,,Not Attempted
3403,Hold Bharti Infratel; target of Rs 180: ICICI Direct ,2020-08-03 10:21:00,ICICI Direct,Bharti Infratel,BHARTIARTL,180.0,Hold,,,,,Not Attempted
3404,Buy Heidelberg Cements India; target of Rs 200: Cholamandalam securities ,2020-07-31 13:34:00,Cholamandalam securities,Heidelberg Cements India,INDIACEM,200.0,Buy,2020-07-31,112.2,2021-05-20,200.0,Complete
3405,Buy Crompton Gr. Con; target of Rs 285: Motilal Oswal ,2020-07-31 13:30:00,Motilal Oswal,Crompton Gr. Con,LEXUS,285.0,Buy,,,,,Not Attempted
3406,Buy Multi Commodity Exchange; target of Rs 1800: ICICI Direct ,2020-07-31 13:27:00,ICICI Direct,Multi Commodity Exchange,MCX,1800.0,Buy,2020-07-31,1653.05,2020-08-04,1822.0,Complete
3407,Sell Havells India; target of Rs 530: Dolat Capital ,2020-07-30 19:15:00,Dolat Capital,Havells India,HAVELLS,530.0,Sell,,,2020-07-31,578.5,Open
3408,Sell NIIT Technologies; target of Rs 1540: Dolat Capital ,2020-07-30 19:09:00,Dolat Capital,NIIT Technologies,LTTS,1540.0,Sell,,,,,Not Attempted
3409,Sell IndusInd Bank; target of Rs 460: Dolat Capital ,2020-07-30 19:08:00,Dolat Capital,IndusInd Bank,INDUSINDBK,460.0,Sell,,,2020-07-31,525.2,Open
3410,Accumulate Kotak Mahindra Bank; target of Rs 1450: Dolat Capital ,2020-07-30 19:07:00,Dolat Capital,Kotak Mahindra Bank,KOTAKBANK,1450.0,Accumulate,2020-07-31,1375.0,2020-08-28,1474.0,Complete
3411,Accumulate Tech Mahindra; target of Rs 720: Dolat Capital ,2020-07-30 19:06:00,Dolat Capital,Tech Mahindra,TECHM,720.0,Accumulate,2020-07-31,678.45,2020-08-17,724.4,Complete
3412,Accumulate Escorts; target of Rs 1279: Dolat Capital ,2020-07-30 18:59:00,Dolat Capital,Escorts,ESCORTS,1279.0,Accumulate,2020-07-31,1135.35,2020-09-18,1280.7,Complete
3413,Reduce Supreme Industries; target of Rs 1227: Dolat Capital ,2020-07-30 18:59:00,Dolat Capital,Supreme Industries,SUPREMEIND,1227.0,Reduce,2020-08-12,1225.25,2020-07-31,1243.0,Complete
3414,Reduce V-Guard Industries; target of Rs 180: Dolat Capital ,2020-07-30 18:58:00,Dolat Capital,V-Guard Industries,VGUARD,180.0,Reduce,,,,,Not Attempted
3415,Reduce United Spirits; target of Rs 580: Dolat Capital ,2020-07-30 18:57:00,Dolat Capital,United Spirits,MCDOWELL-N,580.0,Reduce,,,,,Not Attempted
3416,Reduce Persistent Systems; target of Rs 840: Dolat Capital ,2020-07-30 18:56:00,Dolat Capital,Persistent Systems,PERSISTENT,840.0,Reduce,,,2020-07-31,924.0,Open
3417,Buy Bharti Infratel; target of Rs 251: Dolat Capital ,2020-07-30 18:55:00,Dolat Capital,Bharti Infratel,BHARTIARTL,251.0,Buy,,,,,Not Attempted
3418,Buy CG Consumer Electricals; target of Rs 300: Dolat Capital ,2020-07-30 18:54:00,Dolat Capital,CG Consumer Electricals,CGPOWER,300.0,Buy,,,,,Not Attempted
3419,Buy Voltas; target of Rs 650: Dolat Capital ,2020-07-30 18:50:00,Dolat Capital,Voltas,VOLTAS,650.0,Buy,2020-07-31,595.25,2020-08-19,653.9,Complete
3420,Buy UltraTech Cement; target of Rs 5053: Dolat Capital ,2020-07-30 18:49:00,Dolat Capital,UltraTech Cement,ULTRACEMCO,5053.0,Buy,2020-07-31,4159.95,2020-12-04,5199.0,Complete
3421,Sell Bharti Infratel; target of Rs 153: Emkay Global Financial ,2020-07-30 18:47:00,Emkay Global Financial,Bharti Infratel,BHARTIARTL,153.0,Sell,,,,,Not Attempted
3422,Buy Ultratech Cement; target of Rs 4949: Emkay Global Financial ,2020-07-30 18:46:00,Emkay Global Financial,Ultratech Cement,ULTRACEMCO,4949.0,Buy,2020-07-31,4159.95,2020-11-17,4979.0,Complete
3423,Hold RBL Bank; target of Rs 195: Emkay Global Financial ,2020-07-30 18:45:00,Emkay Global Financial,RBL Bank,RBLBANK,195.0,Hold,2020-07-31,169.0,2020-08-26,201.9,Complete
3424,Hold IndusInd Bank; target of Rs 550: Emkay Global Financial ,2020-07-30 18:44:00,Emkay Global Financial,IndusInd Bank,INDUSINDBK,550.0,Hold,2020-07-31,525.2,2020-08-26,572.2,Complete
3425,Buy Aarti Drugs; target of Rs 2090: Anand Rathi ,2020-07-30 18:43:00,Anand Rathi,Aarti Drugs,AARTIDRUGS,2090.0,Buy,2020-07-31,1710.0,2020-08-06,2257.95,Complete
3426,Reduce Marico; target of Rs 351: HDFC Securities ,2020-07-30 18:37:00,HDFC Securities,Marico,MARICO,351.0,Reduce,2020-09-21,347.65,2020-07-31,364.5,Complete
3427,Reduce Persistent Systems; target of Rs 775: HDFC Securities ,2020-07-30 18:35:00,HDFC Securities,Persistent Systems,PERSISTENT,775.0,Reduce,,,2020-07-31,924.0,Open
3428,Reduce Nippon Life India Asset Management; target of Rs 280: HDFC Securities ,2020-07-30 18:34:00,HDFC Securities,Nippon Life India Asset Management,INDNIPPON,280.0,Reduce,,,,,Not Attempted
3429,Buy Bajaj Auto; target of Rs 3342 LKP Research ,2020-07-30 18:32:00,LKP Research,Bajaj Auto,BAJAJ-AUTO,3342.0,Buy,2020-07-31,3068.85,2020-12-02,3348.0,Complete
3430,Buy Escorts; target of Rs 1326: Anand Rathi ,2020-07-30 18:30:00,Anand Rathi,Escorts,ESCORTS,1326.0,Buy,2020-07-31,1135.35,2020-09-30,1342.75,Complete
3431,Buy Supreme Petrochemicals; target of Rs 212 KRChoksey ,2020-07-30 18:29:00,KRChoksey,Supreme Petrochemicals,SUPREMEENG,212.0,Buy,,,,,Not Attempted
