MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
 ,N1, , , , , , , , , ,N, , , , 
 ,N1, ,OTHER SECURITIES, , , , , , , ,N, , , , 
N,GB,SGBAPR28I,2.50%GOLDBONDS2028SR-I,      4664.50,      4670.00,      4670.00,      4628.50,      4639.05,                  6283201.02,1353,N, ,105,      4975.00,      4515.00
N,GB,SGBAUG24,2.75% GOLDBONDS2024TR-IV,      4682.72,      4682.72,      4728.99,      4671.00,      4673.38,                  7294804.59,1555,N, ,52,      5252.52,      4521.00
N,GB,SGBAUG27,2.50%GOLDBONDS2027SR-III,      4679.77,      4633.00,      4675.00,      4633.00,      4641.00,                   251520.50,54,N, ,8,      5190.00,      4450.00
N,GB,SGBAUG28V,2.50%GOLDBONDS2028SR-V,      4770.73,      4775.00,      4775.00,      4701.00,      4736.25,                 11851824.91,2495,N, ,355,      5051.00,      4281.11
N,GB,SGBAUG29V,2.50%GOLDBONDS2029SR-V,      4681.97,      4680.00,      4681.00,      4660.00,      4680.00,                   210223.01,45,N, ,20,      5170.00,      4551.00
N,GB,SGBD29VIII,2.50%GOLDBONDS2029SR-VIII,      4654.84,      4625.00,      4700.00,      4620.00,      4640.43,                  1150808.75,247,N, ,90,      4795.00,      4258.50
N,GB,SGBDC27VII,2.50%GOLDBONDS2027SR-VII,      4650.00,      4678.00,      4678.00,      4625.00,      4626.00,                   236076.04,51,N, ,16,      5300.00,      4513.00
N,GB,SGBDEC2512,2.50%GOLDBONDS2025 SR-XII,      4760.00,      4760.00,      4760.00,      4760.00,      4760.00,                     9520.00,2,N, ,2,      4980.00,      4451.95
N,GB,SGBDEC25XI,2.50%GOLDBONDS 2025 SR-XI,      4799.90,      4635.00,      4635.00,      4607.00,      4607.00,                    92491.00,20,N, ,4,      5200.00,      4563.00
N,GB,SGBDEC26,2.50%GOLDBONDS2026SR-IV,      4623.00,      4626.00,      4627.00,      4626.00,      4627.00,                    46265.00,10,N, ,3,      5050.00,      4520.00
N,GB,SGBFEB24,2.75%GOLDBONDS2024 TR-II,      4690.21,      4675.00,      4728.00,      4675.00,      4681.82,                  1063778.10,227,N, ,38,      5095.00,      4500.00
N,GB,SGBFEB27,2.50%GOLDBONDS2027SR-VI,      4655.00,      4645.00,      4645.00,      4645.00,      4645.00,                    13935.00,3,N, ,1,      5000.00,      4500.00
N,GB,SGBFEB29XI,2.50%GOLDBONDS2029SR-XI,      4719.31,      4700.00,      4708.00,      4681.01,      4700.00,                   394207.82,84,N, ,27,      5090.00,      4550.00
N,GB,SGBJ28VIII,2.50%GOLDBONDS2028SR-VIII,      4675.00,      4640.00,      4640.00,      4607.00,      4609.90,                   258692.00,56,N, ,10,      4920.00,      4501.00
N,GB,SGBJAN27,2.50%GOLDBONDS2027SR-V,      4690.00,      4630.00,      4664.00,      4625.00,      4663.99,                  1333789.84,288,N, ,9,      5048.00,      4500.00
N,GB,SGBJAN29IX,2.50%GOLDBONDS2029SR-IX,      4663.57,      4656.25,      4689.95,      4642.00,      4643.01,                  1148896.50,247,N, ,97,      5057.00,      4451.00
N,GB,SGBJAN29X,2.50%GOLDBONDS2029SR-X,      4680.09,      4680.00,      4699.99,      4665.00,      4684.50,                   280494.94,60,N, ,16,      5100.00,      4555.00
N,GB,SGBJU29III,2.5%GOLDBONDS2029SR-III,      4653.27,      4670.00,      4670.00,      4631.00,      4650.06,                  3356479.17,722,N, ,120,      5202.98,      4571.00
N,GB,SGBJUL25,SGB2.50%JUL2025SR-II17-18,      4668.99,      4636.00,      4642.00,      4630.00,      4634.71,                   269100.00,58,N, ,11,      5250.00,      4500.00
N,GB,SGBJUL27,2.50%GOLDBONDS2027SR-II,      4672.90,      4621.00,      4625.00,      4621.00,      4625.00,                    18488.00,4,N, ,2,      5749.80,      4410.00
N,GB,SGBJUL28IV,2.50%GOLDBONDS2028SR-IV,      4645.38,      4635.00,      4669.00,      4607.10,      4616.24,                  4609650.45,994,N, ,139,      4910.00,      4501.00
N,GB,SGBJUL29IV,2.50%GOLDBONDS2029SR-IV,      4650.00,      4650.00,      4669.00,      4620.10,      4633.73,                  1540089.49,332,N, ,73,      4799.00,      4501.00
N,GB,SGBJUN27,2.50%GOLDBONDS2027SR-I,      4697.59,      4616.00,      4698.99,      4616.00,      4640.00,                   356540.22,77,N, ,19,      4980.00,      4451.00
N,GB,SGBJUN28,2.5%GOLDBONDS2028SR-III,      4650.16,      4621.00,      4660.00,      4561.00,      4624.49,                  4603908.95,993,N, ,137,      5100.00,      4505.00
N,GB,SGBJUN29II,2.5%GOLDBONDS2029SR-II,      4645.65,      4640.00,      4661.00,      4620.00,      4633.69,                  3267390.38,705,N, ,200,      4820.00,      4561.00
N,GB,SGBMAR24,2.75%GOLDBONDS2024 TR-III,      4667.91,      4652.00,      4690.00,      4631.00,      4631.07,                   331996.15,71,N, ,15,      5050.00,      4455.00
N,GB,SGBMAR25,2.50%GOLDBONDS 2025TR-VII,      4639.59,      4631.01,      4650.01,      4610.00,      4627.63,                  1705196.05,368,N, ,55,      4949.00,      4475.00
N,GB,SGBMAR28X,2.50%GOLDBONDS2028SR-X,      4650.00,      4650.00,      4650.00,      4633.00,      4641.28,                    55739.00,12,N, ,4,      4929.00,      4499.99
N,GB,SGBMAY25,SGB2.50%MAY2025SR-I 17-18,      4632.14,      4631.00,      4648.00,      4622.00,      4628.40,                  5109970.75,1103,N, ,16,      5189.95,      4503.00
N,GB,SGBMAY26,2.50%GOLDBONDS2026SR-I,      4659.00,      4623.00,      4650.00,      4613.01,      4617.87,                   342610.71,74,N, ,16,      4990.00,      4480.00
N,GB,SGBMAY28,2.50%GOLDBONDS2028SR-II,      4659.66,      4621.10,      4648.00,      4621.10,      4634.75,                  1405143.61,303,N, ,90,      4920.00,      4225.25
N,GB,SGBMAY29I,2.5%GOLDBONDS2029SR-I,      4654.51,      4650.01,      4665.00,      4626.00,      4631.74,                  5690827.02,1226,N, ,163,      4786.00,      4500.00
N,GB,SGBMR29XII,2.50%GOLDBONDS2029SR-XII,      4666.00,      4666.00,      4666.00,      4630.06,      4630.76,                  2621806.53,565,N, ,142,      4875.00,      4500.00
N,GB,SGBN28VIII,2.5%GOLDBONDS2028SR-VIII,      4702.82,      4685.00,      4800.00,      4685.00,      4701.39,                   965460.82,205,N, ,40,      5290.00,      4604.00
N,GB,SGBNOV23,2.75% GOLDBONDS 2023 TR-1,      4701.00,      4705.00,      4725.00,      4700.00,      4700.00,                   253923.00,54,N, ,10,      5265.00,      4551.00
N,GB,SGBNOV24,2.50% GOLDBONDS2024 TR-VI,      4642.40,      4650.00,      4650.00,      4641.05,      4642.00,                   431661.75,93,N, ,14,      5129.00,      4500.00
N,GB,SGBNOV25,2.50% GOLDBONDS2025SR-VII,      4653.00,      4655.00,      4655.00,      4653.00,      4653.00,                    27920.00,6,N, ,2,      5088.00,      4521.00
N,GB,SGBNOV25VI,2.50% GOLDBONDS2025SR-VI,      4656.00,      4630.00,      4630.00,      4609.00,      4609.00,                    37019.00,8,N, ,4,      4882.11,      4410.00
N,GB,SGBNV29VII,2.5%GOLDBONDS2029SR-VII,      4651.65,      4652.00,      4660.00,      4626.00,      4629.31,                  1312786.50,283,N, ,54,      4810.00,      4600.10
N,GB,SGBOC28VII,2.50%GOLDBONDS2028SR-VII,      4700.00,      4666.10,      4699.99,      4666.00,      4698.23,                  1094998.71,234,N, ,44,      5200.00,      4500.00
N,GB,SGBOCT25,2.50% GOLDBONDS2025SR-III,      4650.11,      4790.00,      4797.00,      4790.00,      4797.00,                     9587.00,2,N, ,2,      5118.00,      4500.00
N,GB,SGBOCT25IV,2.50% GOLDBONDS2025SR-IV,      4658.00,      4652.10,      4652.10,      4630.01,      4650.00,                    65012.34,14,N, ,7,      5147.10,      4515.00
N,GB,SGBOCT25V,2.50% GOLDBONDS2025SR-V,      4705.00,      4685.00,      4685.00,      4685.00,      4685.00,                    18740.00,4,N, ,1,      4913.70,      4502.00
N,GB,SGBOCT26,2.50%GOLDBONDS2026SR-II,      4621.10,      4621.05,      4627.01,      4621.05,      4625.56,                   300687.24,65,N, ,15,      5290.00,      4486.00
N,GB,SGBOCT27,2.50%GOLDBONDS2027SR-V,      4632.00,      4632.00,      4650.00,      4621.01,      4627.66,                   268448.35,58,N, ,10,      5175.00,      4533.00
